GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		path_angle		dr_yaw_angle		psi		atan_tmp		s		triangle_area		distance_a		distance_b		distance_c		x_error
273.84570000		273.84569937		-0.00000063		-1		0.00000000		-175.00545240		86.98626304		273.84569937		173.14056351		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84569480		-0.00000520		-35		-2.10006546		-175.00545701		86.98626304		273.84569480		173.14056812		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84566432		-0.00003568		-106		0.00000000		-175.00548681		86.98626304		273.84566432		173.14059793		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84565991		-0.00004009		-126		-7.58357013		-175.00549185		86.98626304		273.84565991		173.14060297		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84565523		-0.00004477		-155		-9.33362507		-175.00549654		86.98626304		273.84565523		173.14060765		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84565071		-0.00004929		-184		-11.08368006		-175.00550102		86.98626304		273.84565071		173.14061214		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84573248		0.00003248		-500		-73.50232435		-175.00541978		86.98626304		273.84573248		173.14053090		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84574822		0.00004822		-500		-75.25237847		-175.00540537		86.98626304		273.84574822		173.14051648		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84586568		0.00016568		-500		-119.58704640		-175.00528534		86.98626304		273.84586568		173.14039645		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84585026		0.00015026		-500		-119.70371659		-175.00528643		86.98626304		273.84585026		173.14039755		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84620753		0.00050752		-500		-156.57147000		-175.00494457		86.98626304		273.84620753		173.14005568		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84682641		0.00163911		-500		-175.00503026		-175.00432553		86.98626304		273.84682641		173.13943664		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
273.84570000		273.84781024		0.00262294		-500		-175.00471598		-175.00334184		86.98626304		273.84781024		173.13845295		1.86488888		3.66658280		0.08249076		3.16104379		0.50670079		3.66542102		0.32559950
